epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1299.22,1.21662,0.64502,1.06976,0.91225,0.87012,0.92711,0.60802,1.24445,0.5775,1.11733,0.00121591,0.00121591,0.00121591
43,1329.64,1.21762,0.63575,1.06212,0.91613,0.87215,0.92754,0.60561,1.25296,0.57602,1.12498,0.00120491,0.00120491,0.00120491
44,1360.07,1.21113,0.63607,1.06425,0.91094,0.87842,0.92816,0.60888,1.24125,0.57642,1.11652,0.00119391,0.00119391,0.00119391
45,1390.4,1.21076,0.63232,1.06948,0.90879,0.8762,0.92828,0.61344,1.23428,0.56961,1.11426,0.0011829,0.0011829,0.0011829
46,1421.19,1.21103,0.63786,1.06881,0.91604,0.87226,0.92534,0.60792,1.23854,0.57444,1.1174,0.0011719,0.0011719,0.0011719
47,1451.45,1.21757,0.63278,1.06652,0.92506,0.86848,0.93136,0.61372,1.23855,0.57482,1.11038,0.0011609,0.0011609,0.0011609
48,1481.76,1.20664,0.63042,1.06088,0.92098,0.86934,0.9277,0.6088,1.2439,0.57156,1.12167,0.0011499,0.0011499,0.0011499
49,1512.03,1.19811,0.63008,1.05923,0.91824,0.88067,0.93386,0.60957,1.25335,0.56622,1.1164,0.00113889,0.00113889,0.00113889
50,1542.42,1.19515,0.61722,1.05898,0.91569,0.87574,0.92952,0.60939,1.23847,0.56467,1.1145,0.00112789,0.00112789,0.00112789
51,1572.66,1.19646,0.62185,1.06052,0.92294,0.87908,0.93638,0.61453,1.23717,0.56076,1.11179,0.00111689,0.00111689,0.00111689
52,1603.04,1.21207,0.61912,1.06009,0.92076,0.87517,0.93397,0.6156,1.23254,0.55329,1.10844,0.00110589,0.00110589,0.00110589
53,1633.51,1.19961,0.62847,1.06188,0.91793,0.88062,0.93514,0.61763,1.2311,0.55693,1.11304,0.00109489,0.00109489,0.00109489
54,1663.98,1.19356,0.61513,1.05449,0.91914,0.88348,0.93625,0.61987,1.22337,0.5555,1.10725,0.00108388,0.00108388,0.00108388
55,1694.31,1.18374,0.60446,1.05492,0.90766,0.88077,0.9348,0.61788,1.22968,0.5562,1.10396,0.00107288,0.00107288,0.00107288
56,1724.85,1.18245,0.61066,1.05663,0.93259,0.87749,0.93792,0.61804,1.23221,0.55115,1.11094,0.00106188,0.00106188,0.00106188
57,1755.16,1.19075,0.6104,1.05348,0.92305,0.88128,0.93335,0.6159,1.22326,0.54828,1.10894,0.00105088,0.00105088,0.00105088
58,1785.56,1.18501,0.60979,1.05939,0.91462,0.8882,0.934,0.61669,1.22902,0.54445,1.10803,0.00103987,0.00103987,0.00103987
59,1815.8,1.19738,0.6047,1.05394,0.92559,0.87187,0.93412,0.61978,1.22139,0.54652,1.10719,0.00102887,0.00102887,0.00102887
60,1846.21,1.19423,0.60745,1.05091,0.91633,0.88754,0.93393,0.61562,1.2235,0.55476,1.10731,0.00101787,0.00101787,0.00101787
61,1876.53,1.178,0.60687,1.05285,0.9311,0.87851,0.93621,0.61947,1.22498,0.54636,1.10566,0.00100687,0.00100687,0.00100687
62,1906.86,1.17445,0.59886,1.04495,0.92745,0.87655,0.93607,0.61975,1.22789,0.54464,1.10582,0.000995866,0.000995866,0.000995866
63,1937.32,1.1755,0.59271,1.04575,0.92308,0.87962,0.9347,0.61805,1.22604,0.54496,1.11024,0.000984864,0.000984864,0.000984864
64,1967.62,1.17158,0.59107,1.04629,0.93119,0.88313,0.93533,0.61998,1.22402,0.53799,1.10496,0.000973861,0.000973861,0.000973861
